keyword,section,volume,target_url,file_exists,gsc_position,impressions,clicks,ctr_pct,ranking_page
"pendidikan inklusi adalah",F,1300,https://www.yukaindonesia.com/artikel/pendidikan-inklusi,true,,0,0,0,
"yayasan sosial",F,720,https://www.yukaindonesia.com/artikel/yayasan-sosial,true,,0,0,0,
"pengertian abk",F,390,https://www.yukaindonesia.com/artikel/pengertian-abk,true,,0,0,0,
"ciri ciri abk",F,390,https://www.yukaindonesia.com/artikel/ciri-ciri-abk,true,,0,0,0,
"apa itu pendidikan inklusi",F,320,https://www.yukaindonesia.com/artikel/pendidikan-inklusi,true,,0,0,0,
"konsep pendidikan inklusi",F,210,https://www.yukaindonesia.com/artikel/pendidikan-inklusi,true,,0,0,0,
"inklusi sosial",C,,https://www.yukaindonesia.com/artikel/inklusi-sosial,true,15,7,0,0,https://www.yukaindonesia.com/artikel/inklusi-sosial
"keutamaan merawat anak yatim",B,,https://www.yukaindonesia.com/artikel/keutamaan-merawat-anak-yatim,true,,0,0,0,
"autis adalah",D,33100,https://www.yukaindonesia.com/artikel/autisme-adalah,true,,0,0,0,
"adhd adalah",D,,https://www.yukaindonesia.com/artikel/adhd-adalah,true,68,16,0,0,https://www.yukaindonesia.com/artikel/adhd-adalah
"autisme adalah",D,,https://www.yukaindonesia.com/artikel/autisme-adalah,true,,0,0,0,
"down syndrome adalah",D,,https://www.yukaindonesia.com/artikel/down-syndrome-adalah,true,69,2,0,0,https://www.yukaindonesia.com/artikel/down-syndrome-adalah
"disabilitas",E,12100,https://www.yukaindonesia.com/artikel/disabilitas,true,,0,0,0,
"homeschooling",E,9900,https://www.yukaindonesia.com/artikel/homeschooling-anak-berkebutuhan-khusus,true,,0,0,0,
"montessori",E,9900,https://www.yukaindonesia.com/artikel/montessori-adalah,true,,0,0,0,
"jenis disabilitas",E,5400,https://www.yukaindonesia.com/artikel/jenis-disabilitas,true,,0,0,0,
"tuna rungu",E,5400,https://www.yukaindonesia.com/artikel/tuna-rungu-adalah,true,,0,0,0,
"motorik halus adalah",E,4400,https://www.yukaindonesia.com/artikel/motorik-halus,true,,0,0,0,
"hiperaktif",E,3600,https://www.yukaindonesia.com/artikel/hiperaktif-adalah,true,,0,0,0,
"shadow teacher",E,2900,https://www.yukaindonesia.com/artikel/shadow-teacher-adalah,true,,0,0,0,
"disabilitas intelektual",E,2400,https://www.yukaindonesia.com/artikel/disabilitas-intelektual,true,,0,0,0,
"motorik kasar",E,1900,https://www.yukaindonesia.com/artikel/motorik-kasar-adalah,true,,0,0,0,
"disabilitas sensorik",E,1300,https://www.yukaindonesia.com/artikel/disabilitas-sensorik,true,,0,0,0,
"homeschooling adalah",E,1300,https://www.yukaindonesia.com/artikel/homeschooling-anak-berkebutuhan-khusus,true,,0,0,0,
"disabilitas fisik",E,1000,https://www.yukaindonesia.com/artikel/disabilitas-fisik,true,,0,0,0,
"biaya homeschooling",E,1000,https://www.yukaindonesia.com/artikel/biaya-homeschooling,true,,0,0,0,
"anakku hiperaktif",E,1000,https://www.yukaindonesia.com/artikel/anakku-hiperaktif,true,,0,0,0,
"contoh motorik kasar",E,1000,https://www.yukaindonesia.com/artikel/contoh-motorik-kasar,true,,0,0,0,
"sensori integrasi adalah",E,880,https://www.yukaindonesia.com/artikel/sensori-integrasi,true,,0,0,0,
"apa itu hiperaktif",E,880,https://www.yukaindonesia.com/artikel/hiperaktif-adalah,true,,0,0,0,
"apa itu homeschooling",E,720,https://www.yukaindonesia.com/artikel/homeschooling-anak-berkebutuhan-khusus,true,,0,0,0,
"metode montessori",E,720,https://www.yukaindonesia.com/artikel/metode-montessori,true,,0,0,0,
"apa itu montessori",E,720,https://www.yukaindonesia.com/artikel/montessori-adalah,true,,0,0,0,
"hiperaktif artinya",E,590,https://www.yukaindonesia.com/artikel/hiperaktif-artinya,true,,0,0,0,
"motorik kasar contohnya",E,590,https://www.yukaindonesia.com/artikel/motorik-kasar-contohnya,true,,0,0,0,
"kode icd 10 cerebral palsy",E,480,https://www.yukaindonesia.com/artikel/kode-icd-10-cerebral-palsy,true,,0,0,0,
"kode icd-10 cerebral palsy",E,480,https://www.yukaindonesia.com/artikel/kode-icd-10-cerebral-palsy,true,,0,0,0,
"metode montessori adalah",E,480,https://www.yukaindonesia.com/artikel/metode-montessori-adalah,true,,0,0,0,
"belajar membaca ala montessori",E,480,https://www.yukaindonesia.com/artikel/belajar-membaca-ala-montessori,true,,0,0,0,
"mainan montessori",E,480,https://www.yukaindonesia.com/artikel/mainan-montessori,true,,0,0,0,
