"keyword","volume_bulanan","sub_query","priority","source","bing_crosscheck"
"disabilitas","12100","apa itu disabilitas menurut hukum Indonesia","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas","12100","hak pendidikan penyandang disabilitas","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas","12100","jenis layanan pendukung disabilitas di sekolah","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas","12100","perbedaan disabilitas fisik dan mental","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas","12100","cara mengenali hambatan disabilitas pada anak","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"disabilitas","12100","pendanaan program inklusi disabilitas","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"homeschooling","9900","apa definisi homeschooling di Indonesia","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"homeschooling","9900","syarat izin homeschooling","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"homeschooling","9900","kurikulum homeschooling standar nasional","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"homeschooling","9900","kendala orang tua homeschooling","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"homeschooling","9900","evaluasi kemajuan homeschooling","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"homeschooling","9900","apakah homeschooling diakui pemerintah","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"montessori","9900","prinsip dasar Montessori","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"montessori","9900","implementasi Montessori di sekolah Indonesia","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"montessori","9900","manfaat Montessori untuk perkembangan anak","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"montessori","9900","fasilitas sekolah Montessori","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"montessori","9900","cara mengukur keberhasilan Montessori","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"montessori","9900","materi Montessori di Indonesia","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"jenis disabilitas","5400","kategori jenis disabilitas di Indonesia","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"jenis disabilitas","5400","definisi tiap jenis disabilitas","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"jenis disabilitas","5400","contoh jenis disabilitas pada anak","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"jenis disabilitas","5400","asesmen jenis disabilitas di sekolah","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"jenis disabilitas","5400","perbedaan disabilitas fisik sensorik intelektual","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"jenis disabilitas","5400","dukungan tiap jenis disabilitas","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"tuna rungu","5400","pengertian tuna rungu","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"tuna rungu","5400","hak pendidikan Tuli dan tuna rungu","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"tuna rungu","5400","alat bantu dengar di sekolah","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"tuna rungu","5400","cara mengajar siswa tuna rungu","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"tuna rungu","5400","akses juru bahasa isyarat","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"tuna rungu","5400","evaluasi belajar siswa tuna rungu","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"motorik halus adalah","4400","arti motorik halus","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"motorik halus adalah","4400","tanda keterlambatan motorik halus","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"motorik halus adalah","4400","latihan motorik halus anak","target","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"motorik halus adalah","4400","peran sekolah untuk motorik halus","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
"motorik halus adalah","4400","alat bantu motorik halus di kelas","covered","Perplexity sonar-pro 2026-08-12","UNAVAILABLE_AUTH_INVALID_API_KEY"
